"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX"
"Rue","Rue de la Pentecôte","Pentecôte","PUBLIQUE","SAUTRON","3825","","","1","","23",""
"RN","RN 165","165","PUBLIQUE","SAUTRON","2755","ST-HERBLAIN RN 165","","","","",""
"Impasse","Impasse des Sabotiers","Sabotiers","PUBLIQUE","SAUTRON","4472","SAUTRON Rue des Puisatiers","Impasse","3","2","7","6"
"Rue","Rue de la Contrie","Contrie","MIXTE","SAUTRON","1370","SAUTRON Rue du Plessis","SAUTRON Rue des Sapins","7","4","27","24"
"Impasse","Impasse des Eglantiers","Eglantiers","PUBLIQUE","SAUTRON","1634","SAUTRON Rue du Plessis","Impasse","3","2","7","8"
"Impasse","Impasse de la Chézine","Chézine","PRIVEE","SAUTRON","1122","SAUTRON Rue de la Chézine","Impasse","1","2","5","4"
"Rue","Rue de l'Eperonnière","Eperonnière","PRIVEE","SAUTRON","1633","SAUTRON Rue des Genêts","SAUTRON Chemin du Dréneuf","1","2","13","10"
"Rue","Rue de Plaisance","Plaisance","PUBLIQUE","SAUTRON","3132","SAUTRON Rue des Charmes","SAUTRON Rue de la Bastille","3","","3",""
"Rue","Rue du Printemps","Printemps","PUBLIQUE","SAUTRON","4090","SAUTRON Rue de Beauséjour","SAUTRON Rue de la Bussonnière","1","2","17","12"
"Place","Place du Pré Fleuri","Pré","PUBLIQUE","SAUTRON","3105","SAUTRON Rue de l'Orangerie","","1","2","3","4"
"Rue","Rue de la Lande","Lande","PUBLIQUE","SAUTRON","2432","","","1","2","11","12"
"VM","VM 81","81","PUBLIQUE","SAUTRON","4203","COUERON RN 165","","","","",""
"Chemin","Chemin du Tertre","Tertre","PUBLIQUE","SAUTRON","4469","SAUTRON Rue des Bauches","","","","",""
"Rue","Rue des Buissonnets","Buissonnets","PRIVEE","SAUTRON","0805","SAUTRON Rue du Bois Colin","SAUTRON Rue du Petit Bois","1","2","15","18"
"Place","Place du Chaffault","Chaffault","PRIVEE","SAUTRON","1089","SAUTRON Rue des Genêts","SAUTRON Place de la Perrière","1","","3",""
"Chemin","Chemin des Bas Prés","Bas","PUBLIQUE","VERTOU","0128","VERTOU Rue du Planty","VERTOU Quai de la Chaussée des Moines","","","",""
"Rue","Rue de la Verrie","Verrie","PUBLIQUE","VERTOU","1729","VERTOU Rue de la Nicolière","","11","20","57","72"
"Rue","Rue de Bethleem","Bethleem","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0100","SAINT-JEAN-DE-BOISEAU Rue des Frères Goh","SAINT-JEAN-DE-BOISEAU Rue du Pellerin","1","","7",""
"Rue","Rue des Violettes","Violettes","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","1220","SAINT-JEAN-DE-BOISEAU Rue de Bethleem","SAINT-JEAN-DE-BOISEAU Rue des Ormes","1","2","29","10"
"Rue","Rue Jean De Martel","Martel","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0600","SAINT-JEAN-DE-BOISEAU Rue des Noëlles du","SAINT-JEAN-DE-BOISEAU Rue de la Rochelle","9","2","47","30"
"Rue","Rue des Jonquilles","Jonquilles","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0621","SAINT-JEAN-DE-BOISEAU Rue de la Noë","SAINT-JEAN-DE-BOISEAU Rue Jean De Martel","5","2","5","6"
"Impasse","Impasse des Rochères","Rochères","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","1163","SAINT-JEAN-DE-BOISEAU Rue des Genêts","Impasse","1","2","15","12"
"Impasse","Impasse du Trait de la Cour","Trait","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","1175","SAINT-JEAN-DE-BOISEAU Rue Jean Jaurès","Impasse","1","2","5","6"
"Rue","Rue d'Helsinki","Helsinki","PUBLIQUE","SAINTE-LUCE-SUR-LOIRE","2794","SAINTE-LUCE-SUR-LOIRE Rue de Bruxelles","SAINTE-LUCE-SUR-LOIRE Rue de la Bougrièr","","8","","14"
"Impasse","Impasse René Char","Char","PRIVEE","NANTES","7197","NANTES Impasse René Char","Impasse","1","2","7","22"
"Rue","Rue Agrippa d'Aubigné","Aubigné","PUBLIQUE","MAUVES-SUR-LOIRE","0023","MAUVES-SUR-LOIRE Rue Madame De Sévigné","MAUVES-SUR-LOIRE Rue du Cellier","119","28","119","100"
"Mail","Mail André Breton","Breton","PUBLIQUE","NANTES","0271","NANTES Mail André Breton","","","","",""
"Rue","Rue Karen Blixen","Blixen","PRIVEE","NANTES","0893","NANTES Chemin de la Sécherie","","","2","","4"
"Venelle","Venelle du Port Larron","Larron","PUBLIQUE","INDRE","1161","INDRE Quai Jean Bart","INDRE Venelle du Port Larron","","","",""
"Porte","Porte de Bouguenais","Bouguenais","PUBLIQUE","BOUGUENAIS","","","","","","",""
"Porte","Porte de la Beaujoire","Beaujoire","PUBLIQUE","NANTES","","","","","","",""
"Porte","Porte de Carquefou","Carquefou","PUBLIQUE","NANTES","","","","","","",""
"Rue","Rue du Clos de la Chaussérie","Clos","PRIVEE","SAINT-LEGER-LES-VIGNES","0118","SAINT-LEGER-LES-VIGNES Rue du Clos de la","","1","2","7","8"
"Impasse","Impasse du Landreau","Landreau","PUBLIQUE","ORVAULT","0956","ORVAULT Impasse du Landreau","Impasse","","2","","2"
"Rue","Rue des Frères Mano","Frères","PRIVEE","NANTES","3366","","NANTES Rue Louis Joxe","","2","","2"
"Chemin","Chemin des Amoureux","Amoureux","PUBLIQUE","BOUAYE","0383","BOUAYE Rue de la Borne Seize","BOUAYE Route de Paimboeuf","","","",""
"Rue","Rue Ferdinand Buisson","Buisson","PRIVEE","SAINT-JEAN-DE-BOISEAU","0421","SAINT-JEAN-DE-BOISEAU Rue Ferdinand Buis","","1","2","15","14"
"Rue","Rue Nelson Mandela","Mandela","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0810","SAINT-JEAN-DE-BOISEAU Rue de la Noë","SAINT-JEAN-DE-BOISEAU Rue des Noëlles du","1","2","33","26"
"Chemin","Chemin des Marmitons","Marmitons","PUBLIQUE","VERTOU","1136","VERTOU Rue Charles Lecour","VERTOU Chemin de l'Ecluse","","","",""
"Rond-Point","Rond-Point des Charbonnières","Charbonnières","PUBLIQUE","BRAINS","0084","","","","","",""
"Rue","Rue de la Bréhannerie","Bréhannerie","PUBLIQUE","LE-PELLERIN","0121","","","3","2","5","16"
"Chemin","Chemin du Verger","Verger","PUBLIQUE","BOUAYE","0393","BOUAYE Route de la Cormerais","","","","",""
"Rue","Rue Madeleine Joret","Joret","PRIVEE","BOUAYE","0391","BOUAYE Avenue de Plaisance","","1","2","25","42"
"Rue","Rue Marion Cahour","Cahour","PRIVEE","REZE","2447","","","9","2","15","10"
"Rue","Rue Marc Chagall","Chagall","PRIVEE","REZE","2379","REZE Rue Henri de Toulouse-Lautrec","REZE Rue Henri de Toulouse-Lautrec","1","2","27","22"
"Impasse","Impasse du Puits","Puits","PUBLIQUE","LES-SORINIERES","0740","LES-SORINIERES Rue Georges Clemenceau","Impasse","","4","","4"
"Rue","Rue de la Surmenière","Surmenière","PUBLIQUE","COUERON","2236","COUERON VM 101","COUERON VM 101","1","2","23","18"
"Chemin","Chemin de la Bretonnière","Bretonnière","PUBLIQUE","SAUTRON","0722","SAUTRON Chemin de la Bretonnière","SAUTRON Rue de Bellevue","5","","13",""
"Rue","Rue de la Vallée","Vallée","PUBLIQUE","SAUTRON","4690","SAUTRON Rue de Bretagne","SAUTRON VM 26","3","2","51","36"
"Rue","Rue des Orchidées","Orchidées","PRIVEE","SAUTRON","2845","SAUTRON Rue de la Bastille","","1","2","13","38"
"Allée","Allée du Parc","Parc","PRIVEE","ST-HERBLAIN","1941","ST-HERBLAIN Avenue des Thébaudières","","1","2","3","8"
"Impasse","Impasse Marguerite Perey","Perey","PUBLIQUE","ST-HERBLAIN","1604","","Impasse","5","2","11","14"
"Impasse","Impasse du Souchais","Souchais","PRIVEE","THOUARE-SUR-LOIRE","0031","THOUARE-SUR-LOIRE Rue de Beaulieu","Impasse","1","2","5","4"
"Rue","Rue Olympe de Gouges","Gouges","MIXTE","ST-HERBLAIN","1861","","","1","2","17","28"
"Rue","Rue José Soriano","Soriano","PUBLIQUE","ST-HERBLAIN","1396","ST-HERBLAIN Rue du Moulin de la Rousseli","","","","",""
"Allée","Allée de la Vallée","Vallée","PUBLIQUE","ST-HERBLAIN","2627","ST-HERBLAIN Allée de la Vallée","ST-HERBLAIN Rue des Prés","","2","","2"
"Rue","Rue Edmond Bertreux","Bertreux","PUBLIQUE","BOUAYE","0033","BOUAYE Rue Germaine Dulac","BOUAYE Rue Germaine Dulac","1","2","31","34"
"Impasse","Impasse de Fontenelle","Fontenelle","PRIVEE","MAUVES-SUR-LOIRE","0065","MAUVES-SUR-LOIRE Rue du Cellier","Impasse","","2","","4"
"Chemin","Chemin de la Roche","Roche","PUBLIQUE","VERTOU","1568","VERTOU Route de la Ville Bachelier","","1","2","9","6"
"Allée","Allée de la Jaguère","Jaguère","PRIVEE","BOUGUENAIS","3423","BOUGUENAIS Rue des Indes Galantes","","1","2","15","2"
"Rue","Rue des Grands Pâtis","Grands","PRIVEE","NANTES","3813","","","5","28","37","34"
"Chemin","Chemin de la Tactière","Tactière","PUBLIQUE","CARQUEFOU","3588","CARQUEFOU Rue de la Tactière","","1","2","7","12"
"Rue","Rue des Amazones","Amazones","PRIVEE","BOUGUENAIS","3607","","BOUGUENAIS Rue du Carrousel","1","6","51","44"
"Rue","Rue Blaise Pascal","Pascal","PRIVEE","REZE","0391","REZE Rue des Sorinières","","3","6","13","22"
"Rue","Rue des Pins","Pins","PUBLIQUE","COUERON","1861","COUERON Rue de Bretagne","","1","2","15","8"
"Impasse","Impasse de la Bosse de Brimberne","Bosse","PUBLIQUE","COUERON","0391","COUERON Route de Brimberne","Impasse","1","2","9","10"
"Allée","Allée du Cap Horn","Cap","PUBLIQUE","VERTOU","1914","VERTOU VM 115","","3","2","3","20"
"Rue","Rue Théodore Monod","Monod","PRIVEE","LA-CHAPELLE-SUR-ERDRE","4211","LA-CHAPELLE-SUR-ERDRE Rue Augustin Fresn","LA-CHAPELLE-SUR-ERDRE Rue Marie Curie","","2","","6"
"Rue","Rue Jean-Louis Barrault","Barrault","PRIVEE","LA-CHAPELLE-SUR-ERDRE","3919","LA-CHAPELLE-SUR-ERDRE Rue Gérard Philipp","LA-CHAPELLE-SUR-ERDRE Rue Philippe Noire","1","","11",""
"Rue","Rue Olof Palme","Palme","PUBLIQUE","REZE","2735","REZE Rue Camille Claudel","REZE Rue de la Comète de Haley","","4","","22"
"Impasse","Impasse de la Haute Canterie","Haute","PUBLIQUE","VERTOU","1960","VERTOU Rue de la Haute Canterie","Impasse","1","","7",""
"Allée","Allée de l'Etoile du Sud","Etoile","PRIVEE","LA-CHAPELLE-SUR-ERDRE","2574","LA-CHAPELLE-SUR-ERDRE Rue Philéas Fogg","","1","","3",""
"Rue","Rue Hélène Boucher","Boucher","PUBLIQUE","NANTES","4100","NANTES Rue Jeannine","NANTES Rue Frère Louis","1","2","19","14"
"Rue","Rue Henri Billot","Billot","PUBLIQUE","NANTES","4116","NANTES Rue Sylvain Royé","NANTES Rue du Général Botha","1","4","23","20"
"Impasse","Impasse Henri Jahan","Jahan","PRIVEE","NANTES","4140","NANTES Rue Aristide Hignard","Impasse","1","2","7","8"
"Place","Place Henry Rey","Rey","PUBLIQUE","NANTES","4154","NANTES Rue Louis Pergaud","NANTES Allée de Portricq","1","2","7","6"
"Rue","Rue Hermann Geiger","Geiger","PRIVEE","NANTES","4173","NANTES Rue de Koufra","NANTES Rue du Ranzai","1","2","1","20"
"Rue","Rue de l'Héronnière","Héronnière","PUBLIQUE","NANTES","4180","NANTES Rue Jean Jacques Rousseau","NANTES Rue Montaudouine","3","2","41","20"
"Chemin","Chemin des Hiorts","Hiorts","PRIVEE","NANTES","4200","NANTES Route de Pompierre","ST-HERBLAIN Rue Philippe Lebon","1","2","27","28"
"Avenue","Avenue de l'Horticulture","Horticulture","PRIVEE","NANTES","4232","NANTES Route de Sainte Luce","","1","2","25","26"
"Avenue","Avenue de l'Hôtel Dieu","Dieu","PUBLIQUE","NANTES","4240","NANTES Rue des Olivettes","","1","2","13","14"
"Chemin","Chemin de la Houssinière","Houssinière","PUBLIQUE","NANTES","4248","NANTES Boulevard Michelet","NANTES Boulevard Michelet","","2","","6"
"Avenue","Avenue Jacques Auneau","Auneau","PRIVEE","NANTES","4296","NANTES Rue de la Marrière","","3","2","33","38"
"Avenue","Avenue Jacques Prévert","Prévert","PRIVEE","NANTES","4322","NANTES Rue des Bourdonnières","","1","2","5","38"
"Avenue","Avenue des Jades","Jades","PRIVEE","NANTES","4327","NANTES Chemin du Château de l'Aubinière","","1","2","1","18"
"Impasse","Impasse de la Jangada","Jangada","PRIVEE","NANTES","4355","NANTES Rue des Fromenteaux","Impasse","1","","3",""
"Allée","Allée des Jasmins","Jasmins","PRIVEE","NANTES","4361","NANTES Avenue Castellano","NANTES Allée des Cosmos","1","","7",""
"Avenue","Avenue Jean Claude Bonduelle","Bonduelle","PUBLIQUE","NANTES","4425","NANTES Rue de Jemmapes","NANTES Pont Aristide Briand","","2","","6"
"Rue","Rue Jean Danais","Danais","PUBLIQUE","NANTES","4428","NANTES Rue des Renardières","NANTES Boulevard de la Solidarité","1","2","47","50"
"Avenue","Avenue Jean Giono","Giono","PRIVEE","NANTES","4454","NANTES Rue Arthur Rimbaud","","1","2","5","6"
"Rue","Rue Jean Honoré Fragonard","Fragonard","PRIVEE","NANTES","4456","NANTES Rue Antoine Watteau","NANTES Rue Henry Ottmann","1","2","5","12"
"Rue","Rue Jean Marie Potiron","Potiron","PUBLIQUE","NANTES","4494","NANTES Route de Saint Joseph","NANTES Place François Dollier de Casson","1","2","7","4"
"Boulevard","Boulevard Jean XXIII","Jean","PUBLIQUE","NANTES","4498","","NANTES Boulevard Jean XXIII","1","2","71","66"
"Boulevard","Boulevard Jean Monnet","Monnet","PUBLIQUE","NANTES","4501","NANTES Boulevard Jean Philippot","NANTES Place Aimé Delrue","","30","","38"
"Quai","Quai de la Jonelière","Jonelière","PUBLIQUE","NANTES","4543","NANTES Route de la Jonelière","LA-CHAPELLE-SUR-ERDRE Route de la Joneli","1","2","15","16"
"Avenue","Avenue des Jonquilles","Jonquilles","PRIVEE","NANTES","4556","NANTES Rue des Roches","NANTES Rue des Roches","1","2","23","16"
"Avenue","Avenue Joseph Barreau","Barreau","PRIVEE","NANTES","4560","NANTES Rue du Bas Landreau","NANTES Avenue Bon Accueil","1","6","37","38"
"Rue","Rue de la Juiverie","Juiverie","PUBLIQUE","NANTES","4604","NANTES Rue des Petites Ecuries","NANTES Rue Sainte Croix","1","2","21","22"
"Rue","Rue Jules Cottin de Melville","Melville","PUBLIQUE","NANTES","4617","NANTES Rue Sébastien Vaillant","NANTES Rue de la Noë Garreau","","","",""
"Rue","Rue d'Ancenis","Ancenis","PUBLIQUE","REZE","0140","REZE Rue du Lieutenant de Monti","REZE Rue du Château de Rezé","","2","","6"
"Rue","Rue Blanchet","Blanchet","PUBLIQUE","REZE","0400","REZE Rue des Naudières","REZE Rue Charles Rivière","3","8","61","50"
"Avenue","Avenue du Maréchal De Lattre de Tassigny","Tassigny","PUBLIQUE","REZE","2420","REZE Place Saint Pierre","REZE Avenue de la Loire","3","2","7","22"
"Rue","Rue de la Sermonière","Sermonière","PUBLIQUE","REZE","3389","REZE Rue Félicien Thomazeau","REZE Rue Mazureau","1","2","29","26"
"Rue","Rue de la Commune de 1871","Commune","PUBLIQUE","REZE","0994","REZE Place Pierre Sémard","REZE Rue de la Commune de 1871","7","12","113","104"
"Rue","Rue Jean Baptiste Vigier","Vigier","PUBLIQUE","REZE","1920","REZE Rue Félix Faure","REZE Rue Claude Gaulué","1","4","189","166"
"Rue","Rue Victor Fortun","Fortun","PUBLIQUE","REZE","3680","REZE Rue de la Balinière","REZE Rue de la Chesnaie","1","2","25","70"
"Boulevard","Boulevard du Général de Gaulle","Gaulle","PUBLIQUE","REZE","1515","","","","","",""
"Rue","Rue Paul Ploquin","Ploquin","PUBLIQUE","REZE","2870","REZE Quai Surcouf","REZE Rue Roiné","1","","1",""
"Rue","Rue Joseph Cugnot","Cugnot","MIXTE","REZE","2008","REZE Rue des Sorinières","","5","","17",""
"Avenue","Avenue de Pornichet","Pornichet","PUBLIQUE","REZE","3076","REZE Avenue de Deauville","","1","","9",""
"Rue","Rue Aristide Briand","Briand","PUBLIQUE","REZE","0160","REZE Rue Félicien Thomazeau","REZE Rue du Chêne Creux","1","2","139","120"
"Rue","Rue Clouard","Clouard","PUBLIQUE","REZE","0970","REZE Rue de la Douane","REZE Rue Barban","1","","5",""
"Rue","Rue Robert Louis Stevenson","Stevenson","PUBLIQUE","REZE","3271","REZE Avenue Pierre Loti","REZE Avenue Pierre Loti","1","2","29","44"
"Rue","Rue Cassard","Cassard","PUBLIQUE","REZE","0590","REZE Rue Léon Lecosse","","5","2","5","16"
"Square","Square du Pront","Pront","PRIVEE","REZE","3137","REZE Impasse du Pront","","","2","","12"
"Avenue","Avenue des Monts d'Armorique","Monts","PUBLIQUE","REZE","2580","REZE Avenue des Vosges","REZE Avenue des Pyrénées","1","4","19","10"
"Rue","Rue Maurice Utrillo","Utrillo","PUBLIQUE","REZE","2510","REZE Rue du Château de Rezé","","1","2","51","44"
"Rue","Rue de la Robinière","Robinière","PUBLIQUE","REZE","3280","REZE Rue de la Quératière","REZE Rue de la Maillardière","3","2","147","120"
"Avenue","Avenue Georges Méliès","Méliès","PUBLIQUE","REZE","1610","REZE Avenue Georges Méliès","REZE Rue Victor Fortun","1","12","15","14"
"Avenue","Avenue des Gâts","Gâts","PUBLIQUE","REZE","1491","REZE Rue Joseph et Lucien Leclerc","REZE Rue Augustin Mouillé","1","2","15","16"
"Rue","Rue Julien Douillard","Douillard","PUBLIQUE","REZE","2050","REZE Rue Jean Fraix","REZE Rue André Guinoiseau","1","12","49","62"
"Rue","Rue Lambert","Lambert","PUBLIQUE","REZE","2115","REZE Rue du Château d'Eau","REZE Rue du Moulin Guibreteau","1","2","5","2"
"Rue","Rue de la Douane","Douane","PUBLIQUE","REZE","1090","REZE Grand Rue","REZE Quai Marcel Boissard","1","4","9","12"
"Chemin","Chemin de la Sevry","Sevry","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4475","LA-CHAPELLE-SUR-ERDRE Rue de la Bouillon","","45","64","149","162"
"Allée","Allée des Meldeniers","Meldeniers","PRIVEE","LA-CHAPELLE-SUR-ERDRE","4190","LA-CHAPELLE-SUR-ERDRE Avenue du Manoir","","3","6","7","6"
"Rue","Rue du Président René Coty","Coty","MIXTE","LA-CHAPELLE-SUR-ERDRE","4360","LA-CHAPELLE-SUR-ERDRE Rue Charles De Gau","LA-CHAPELLE-SUR-ERDRE Avenue des Noierie","1","2","47","42"
"Rue","Rue du Doussais","Doussais","MIXTE","SAUTRON","1560","SAUTRON Rue de la Corniche","SAUTRON Rue de la Vallée","1","4","49","34"
"Rue","Rue de la Source","Source","PRIVEE","SAUTRON","4280","SAUTRON Rue du Cens","SAUTRON Rue des Fontenelles","1","4","11","14"
"Rue","Rue de la Chesnaie","Chesnaie","PRIVEE","SAUTRON","1100","SAUTRON Rue du Doussais","SAUTRON Rue de la Rivière","3","4","17","26"
"Rue","Rue de la Colinière","Colinière","PRIVEE","SAUTRON","1170","SAUTRON Rue de la Chevrolière","","1","4","11","12"
"Rue","Rue des Alisiers","Alisiers","PUBLIQUE","SAUTRON","0008","SAUTRON Rue de la Hubonnière","","1","2","5","4"
"Rue","Rue Ange Guépin","Guépin","PUBLIQUE","BOUGUENAIS","0088","BOUGUENAIS Rue de Bellevue","BOUGUENAIS Rue Maurice Audin","1","2","21","12"
"Place","Place Ange Guépin","Guépin","PRIVEE","BOUGUENAIS","0087","BOUGUENAIS Square Ange Guépin","","","","",""
"Chemin","Chemin des Coteaux","Coteaux","PUBLIQUE","BOUGUENAIS","1281","BOUGUENAIS Rue des Coteaux","BOUGUENAIS Rue des Roseaux","1","","5",""
"Rue","Rue du Chat Perché","Chat","PRIVEE","BOUGUENAIS","1010","BOUGUENAIS Chemin des Perrières","BOUGUENAIS Rue du Prince Grenouille","1","2","5","22"
"Rond-Point","Rond-Point des Cinq Chênes","Cinq","PUBLIQUE","BOUGUENAIS","1121","","","","","",""
"Chemin","Chemin Pablo Picasso","Picasso","PUBLIQUE","BOUGUENAIS","2416","BOUGUENAIS Rue Célestin Freinet","BOUGUENAIS Rue Pablo Picasso","","","",""
"Chemin","Chemin Jacques Becker","Becker","PRIVEE","BOUGUENAIS","1838","BOUGUENAIS Rue Charlie Chaplin","BOUGUENAIS Rue du Septième Art","","","",""
"Impasse","Impasse des Loquets","Loquets","PUBLIQUE","MAUVES-SUR-LOIRE","0141","MAUVES-SUR-LOIRE Rue des Loquets","Impasse","1","","5",""
"Chemin","Chemin de la Charrée","Charrée","PUBLIQUE","MAUVES-SUR-LOIRE","0254","MAUVES-SUR-LOIRE Route du Jarry","","","","",""
"Rue","Rue Madame De Sévigné","De","PUBLIQUE","MAUVES-SUR-LOIRE","0150","MAUVES-SUR-LOIRE Chemin du Vieux Moulin","MAUVES-SUR-LOIRE Rue du Cellier","1","2","1","8"
"Rue","Rue Pierre De Ronsard","De","PRIVEE","MAUVES-SUR-LOIRE","0202","MAUVES-SUR-LOIRE Rue Madame De Sévigné","MAUVES-SUR-LOIRE Rue Joachim du Bellay","1","2","15","12"
"Allée","Allée du Pin","Pin","PRIVEE","MAUVES-SUR-LOIRE","0205","MAUVES-SUR-LOIRE Rue Madame De Sévigné","","1","2","3","4"
"Rue","Rue du Clos Sablé","Clos","PUBLIQUE","MAUVES-SUR-LOIRE","0057","MAUVES-SUR-LOIRE Rue de la Sensive","MAUVES-SUR-LOIRE Rue du Clos du Moulin","1","2","27","14"
"Rue","Rue du Poitou","Poitou","PUBLIQUE","MAUVES-SUR-LOIRE","0209","MAUVES-SUR-LOIRE Avenue de Bretagne","","1","2","1","2"
"Rue","Rue de la Loire","Loire","PUBLIQUE","MAUVES-SUR-LOIRE","0210","MAUVES-SUR-LOIRE Rue de la Côte Saint De","MAUVES-SUR-LOIRE Rue du Port","1","2","39","50"
"Rue","Rue du Carteron","Carteron","PUBLIQUE","MAUVES-SUR-LOIRE","0046","","MAUVES-SUR-LOIRE Rue du Cellier","3","2","7","12"
"Rue","Rue des Pêcheurs","Pêcheurs","PUBLIQUE","MAUVES-SUR-LOIRE","0203","MAUVES-SUR-LOIRE Rue de la Loire","MAUVES-SUR-LOIRE Rue du Port","","","",""
"Impasse","Impasse des Saulzais","Saulzais","PUBLIQUE","MAUVES-SUR-LOIRE","0217","MAUVES-SUR-LOIRE Rue des Saulzais","Impasse","1","","3",""
"Chemin","Chemin du Clos du Moulin","Clos","PRIVEE","MAUVES-SUR-LOIRE","0053","MAUVES-SUR-LOIRE Allée Jacques Prévert","MAUVES-SUR-LOIRE Impasse du Carteron","1","2","1","4"
"Rue","Rue des Cerisiers","Cerisiers","PRIVEE","SAUTRON","0870","SAUTRON Rue des Lauriers","","1","2","7","8"
"Chemin","Chemin des Bois Grands","Grands","PUBLIQUE","SAUTRON","0510","SAUTRON Chemin de la Poissardière","","","","",""
"Rue","Rue des Tulipiers","Tulipiers","PUBLIQUE","SAUTRON","4630","SAUTRON Rue de la Forêt","","1","2","7","6"
"Rue","Rue des Noisetiers","Noisetiers","PUBLIQUE","SAUTRON","2785","SAUTRON Rue des Acacias","","3","6","11","16"
"Rue","Rue de la Bretonnière","Bretonnière","PRIVEE","SAUTRON","0721","SAUTRON Rue de Bellevue","SAUTRON Rue de Rieux","3","2","25","16"
"Rue","Rue Lambert","Lambert","PUBLIQUE","ST-HERBLAIN","1455","ST-HERBLAIN Rue Euclide","ST-HERBLAIN Rue Bourdaloue","1","2","13","38"
"Impasse","Impasse de la Dixnotterie","Dixnotterie","PUBLIQUE","ST-HERBLAIN","0869","ST-HERBLAIN Rue du Petit Village","Impasse","1","4","5","24"
"Rue","Rue Gabriel Voisin","Voisin","PRIVEE","ST-HERBLAIN","1046","ST-HERBLAIN Rue Henri Radigois","","1","4","9","10"
"Rue","Rue du Moulin de la Pâtissière","Moulin","PUBLIQUE","ST-HERBLAIN","1774","ST-HERBLAIN Rue de la Porchellerie","ST-HERBLAIN Impasse de la Coulée","1","2","17","18"
"Allée","Allée du Portillon","Portillon","PUBLIQUE","ST-HERBLAIN","2263","ST-HERBLAIN Rue du Tourmalet","","1","2","1","10"
"Impasse","Impasse Sainte Marguerite","Marguerite","PUBLIQUE","ST-HERBLAIN","2453","ST-HERBLAIN Rue des Maures","Impasse","1","","13",""
"Impasse","Impasse du Clos de la Robertière","Clos","PRIVEE","ST-HERBLAIN","0703","ST-HERBLAIN Avenue Florencio Martinez","Impasse","1","2","11","2"
"Rue","Rue du Clos Siban","Clos","PUBLIQUE","ST-HERBLAIN","0715","ST-HERBLAIN Rue du Docteur Boubée","ST-HERBLAIN Rue du Docteur Boubée","5","6","75","22"
"Rue","Rue des Manoirs","Manoirs","PUBLIQUE","ST-HERBLAIN","1582","ST-HERBLAIN Rue du Docteur Boubée","ST-HERBLAIN Rue du Docteur Alfred Corlay","1","2","7","12"
"Avenue","Avenue Florencio Martinez","Martinez","PUBLIQUE","ST-HERBLAIN","1028","ST-HERBLAIN Rue du Docteur Boubée","ST-HERBLAIN Rue du Seize Septembre","3","2","21","8"
"Chemin","Chemin de la Maraudière","Maraudière","PRIVEE","ST-HERBLAIN","1589","ST-HERBLAIN Rue du Docteur Boubée","","1","","7",""
"Rue","Rue Jean Monnet","Monnet","PUBLIQUE","ST-HERBLAIN","1353","","","3","2","19","24"
"Rue","Rue de la Garde","Garde","PUBLIQUE","ST-HERBLAIN","1070","ST-HERBLAIN Rue Saint Exupéry","ST-HERBLAIN Rue Saint Exupéry","1","2","21","26"
"Rue","Rue Alfred Sisley","Sisley","PUBLIQUE","ST-HERBLAIN","0053","ST-HERBLAIN Rue Camille Pissarro","","1","","21",""
"Impasse","Impasse Henri Barbusse","Barbusse","PUBLIQUE","ST-HERBLAIN","1263","ST-HERBLAIN Rue Emile Zola","Impasse","1","2","23","24"
"Chemin","Chemin de la Croix Durand","Croix","PUBLIQUE","ORVAULT","0605","ORVAULT Chemin de la Retardière","ORVAULT Rue de Beausoleil","","","",""
"Rue","Rue du Coteau","Coteau","PRIVEE","ORVAULT","0556","ORVAULT Rue de la Brise","","3","4","15","12"
"Chemin","Chemin de Clogand","Clogand","PUBLIQUE","ORVAULT","0544","ORVAULT Chemin du Plessis Buron","ORVAULT Chemin de la Bussonnière","","2","","2"
"Avenue","Avenue des Chataigniers","Chataigniers","PRIVEE","ORVAULT","0464","ORVAULT Avenue de la Grée","","1","2","9","8"
"Chemin","Chemin des Casseaux","Casseaux","PUBLIQUE","ORVAULT","0425","SAUTRON VM 42","ORVAULT Chemin du Petit Aulnay","","","",""
"Rue","Rue des Calèches","Calèches","PUBLIQUE","ORVAULT","0416","ORVAULT Rue des Jarres","","3","2","9","10"
"Rue","Rue Bonnetable","Bonnetable","PRIVEE","ORVAULT","0304","ORVAULT Avenue du Bois Raguenet","","3","2","17","28"
"Allée","Allée de la Bigeottière","Bigeottière","MIXTE","ORVAULT","0233","ORVAULT Rond-Point de la Bigeottière","","","14","","40"
"Avenue","Avenue André Malraux","Malraux","PUBLIQUE","ORVAULT","0189","ORVAULT Rond-Point de la Chataigneraie","","3","4","5","6"
